kp,kd,step_rad,send_ms,elapsed_ms,feedback_elapsed_ms,q_base,q_target,angle,speed,position_error,response_ratio,t_ref_est,type2_torque,motor_age_ms,online,error_code
70.0,1.6,0.03,6.992872999944666,646.2398100002247,632.2398100002247,0.001,0.031,0.03,0.04,0.0010000000000000009,0.9666666666666667,0.006000000000000061,0.08,14.0,True,0
70.0,1.6,0.03,6.992872999944666,666.447079000136,662.447079000136,0.001,0.031,0.03,-0.03,0.0010000000000000009,0.9666666666666667,0.11800000000000006,0.07,4.0,True,0
70.0,1.6,0.03,6.992872999944666,686.243217000083,677.243217000083,0.001,0.031,0.03,0.09,0.0010000000000000009,0.9666666666666667,-0.07399999999999993,0.0,9.0,True,0
70.0,1.6,0.03,6.992872999944666,706.2537519996113,692.2537519996113,0.001,0.031,0.03,-0.03,0.0010000000000000009,0.9666666666666667,0.11800000000000006,0.0,14.0,True,0
70.0,1.6,0.03,6.992872999944666,726.2633279997317,722.2633279997317,0.001,0.031,0.03,0.06,0.0010000000000000009,0.9666666666666667,-0.02599999999999994,0.0,4.0,True,0
70.0,1.6,0.03,6.992872999944666,746.208456000204,737.208456000204,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.13400000000000006,0.0,9.0,True,0
70.0,1.6,0.03,6.992872999944666,765.8556349997525,751.8556349997525,0.001,0.031,0.03,0.0,0.0010000000000000009,0.9666666666666667,0.07000000000000006,0.39,14.0,True,0
70.0,1.6,0.03,6.992872999944666,785.9273860003668,781.9273860003668,0.001,0.031,0.03,0.05,0.0010000000000000009,0.9666666666666667,-0.009999999999999953,0.17,4.0,True,0
100.0,1.6,0.03,6.914345999575744,14.166575999297493,0.16657599929749267,0.001,0.031,0.001,0.06,0.03,0.0,2.904,-0.07,14.0,True,0
100.0,1.6,0.03,6.914345999575744,26.856785999370913,12.856785999370913,0.001,0.031,0.001,0.06,0.03,0.0,2.904,-0.07,14.0,True,0
100.0,1.6,0.03,6.914345999575744,47.01445499995316,45.01445499995316,0.001,0.031,0.001,-0.19,0.03,0.0,3.3040000000000003,0.5,2.0,True,0
100.0,1.6,0.03,6.914345999575744,67.46895200012659,60.46895200012659,0.001,0.031,0.016,0.91,0.015,0.5,0.04399999999999982,0.0,7.0,True,0
100.0,1.6,0.03,6.914345999575744,87.08157199998823,75.08157199998823,0.001,0.031,0.025,0.35,0.005999999999999998,0.8,0.039999999999999925,0.27,12.0,True,0
100.0,1.6,0.03,6.914345999575744,107.43315799936681,105.43315799936681,0.001,0.031,0.029,0.08,0.0019999999999999983,0.9333333333333333,0.07199999999999984,0.09,2.0,True,0
100.0,1.6,0.03,6.914345999575744,126.99355399945489,119.99355399945489,0.001,0.031,0.03,0.15,0.0010000000000000009,0.9666666666666667,-0.1399999999999999,0.0,7.0,True,0
100.0,1.6,0.03,6.914345999575744,146.95186500011914,134.95186500011914,0.001,0.031,0.03,-0.1,0.0010000000000000009,0.9666666666666667,0.2600000000000001,0.18,12.0,True,0
100.0,1.6,0.03,6.914345999575744,166.9212159995368,164.9212159995368,0.001,0.031,0.03,-0.06,0.0010000000000000009,0.9666666666666667,0.1960000000000001,0.09,2.0,True,0
100.0,1.6,0.03,6.914345999575744,186.89776700011862,179.89776700011862,0.001,0.031,0.03,0.07,0.0010000000000000009,0.9666666666666667,-0.011999999999999927,0.03,7.0,True,0
100.0,1.6,0.03,6.914345999575744,206.8538379999154,194.8538379999154,0.001,0.031,0.03,0.17,0.0010000000000000009,0.9666666666666667,-0.17199999999999993,0.12,12.0,True,0
100.0,1.6,0.03,6.914345999575744,226.908851999724,223.908851999724,0.001,0.031,0.03,-0.06,0.0010000000000000009,0.9666666666666667,0.1960000000000001,0.0,3.0,True,0
100.0,1.6,0.03,6.914345999575744,246.86309899971093,238.86309899971093,0.001,0.031,0.03,-0.02,0.0010000000000000009,0.9666666666666667,0.1320000000000001,0.0,8.0,True,0
100.0,1.6,0.03,6.914345999575744,266.8800649998957,253.8800649998957,0.001,0.031,0.03,0.09,0.0010000000000000009,0.9666666666666667,-0.0439999999999999,0.07,13.0,True,0
100.0,1.6,0.03,6.914345999575744,287.0016699998814,284.0016699998814,0.001,0.031,0.03,-0.05,0.0010000000000000009,0.9666666666666667,0.1800000000000001,0.0,3.0,True,0
100.0,1.6,0.03,6.914345999575744,306.921357999272,298.921357999272,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.05200000000000009,0.06,8.0,True,0
100.0,1.6,0.03,6.914345999575744,326.82603699959145,313.82603699959145,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.05200000000000009,0.0,13.0,True,0
100.0,1.6,0.03,6.914345999575744,346.81903599994257,344.81903599994257,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.05200000000000009,0.3,2.0,True,0
100.0,1.6,0.03,6.914345999575744,366.9077770000513,359.9077770000513,0.001,0.031,0.03,0.01,0.0010000000000000009,0.9666666666666667,0.08400000000000009,0.01,7.0,True,0
100.0,1.6,0.03,6.914345999575744,386.846665000121,374.846665000121,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.1640000000000001,0.04,12.0,True,0
100.0,1.6,0.03,6.914345999575744,406.8209749993912,403.8209749993912,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.05200000000000009,0.26,3.0,True,0
100.0,1.6,0.03,6.914345999575744,426.82923799929995,418.82923799929995,0.001,0.031,0.03,0.06,0.0010000000000000009,0.9666666666666667,0.004000000000000087,0.09,8.0,True,0
100.0,1.6,0.03,6.914345999575744,446.8141090001154,433.8141090001154,0.001,0.031,0.03,-0.08,0.0010000000000000009,0.9666666666666667,0.2280000000000001,-0.06,13.0,True,0
100.0,1.6,0.03,6.914345999575744,466.8343069997718,463.8343069997718,0.001,0.031,0.03,-0.06,0.0010000000000000009,0.9666666666666667,0.1960000000000001,0.4,3.0,True,0
100.0,1.6,0.03,6.914345999575744,486.90656799954013,478.90656799954013,0.001,0.031,0.03,-0.03,0.0010000000000000009,0.9666666666666667,0.14800000000000008,0.26,8.0,True,0
100.0,1.6,0.03,6.914345999575744,506.7874079995818,493.7874079995818,0.001,0.031,0.03,-0.05,0.0010000000000000009,0.9666666666666667,0.1800000000000001,0.0,13.0,True,0
100.0,1.6,0.03,6.914345999575744,526.8217180000647,523.8217180000647,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.1640000000000001,0.0,3.0,True,0
100.0,1.6,0.03,6.914345999575744,546.8302369999947,538.8302369999947,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.1640000000000001,0.0,8.0,True,0
100.0,1.6,0.03,6.914345999575744,566.8344989999241,553.8344989999241,0.001,0.031,0.03,0.04,0.0010000000000000009,0.9666666666666667,0.03600000000000009,0.2,13.0,True,0
100.0,1.6,0.03,6.914345999575744,586.8338979998953,583.8338979998953,0.001,0.031,0.03,0.18,0.0010000000000000009,0.9666666666666667,-0.1879999999999999,0.0,3.0,True,0
100.0,1.6,0.03,6.914345999575744,606.9807179992495,598.9807179992495,0.001,0.031,0.03,0.02,0.0010000000000000009,0.9666666666666667,0.06800000000000009,0.2,8.0,True,0
100.0,1.6,0.03,6.914345999575744,626.8524070001149,613.8524070001149,0.001,0.031,0.03,0.03,0.0010000000000000009,0.9666666666666667,0.05200000000000009,0.04,13.0,True,0
100.0,1.6,0.03,6.914345999575744,646.8149100001028,642.8149100001028,0.001,0.031,0.03,0.14,0.0010000000000000009,0.9666666666666667,-0.12399999999999994,0.22,4.0,True,0
100.0,1.6,0.03,6.914345999575744,666.8647389997204,657.8647389997204,0.001,0.031,0.03,-0.04,0.0010000000000000009,0.9666666666666667,0.1640000000000001,0.27,9.0,True,0
100.0,1.6,0.03,6.914345999575744,686.8198819993268,672.8198819993268,0.001,0.031,0.03,-0.02,0.0010000000000000009,0.9666666666666667,0.1320000000000001,0.0,14.0,True,0
100.0,1.6,0.03,6.914345999575744,706.8863199992848,702.8863199992848,0.001,0.031,0.03,0.06,0.0010000000000000009,0.9666666666666667,0.004000000000000087,0.0,4.0,True,0
100.0,1.6,0.03,6.914345999575744,726.8287269998837,717.8287269998837,0.001,0.031,0.03,-0.16,0.0010000000000000009,0.9666666666666667,0.3560000000000001,0.0,9.0,True,0
100.0,1.6,0.03,6.914345999575744,746.8964769996091,732.8964769996091,0.001,0.031,0.03,-0.09,0.0010000000000000009,0.9666666666666667,0.24400000000000008,0.0,14.0,True,0
100.0,1.6,0.03,6.914345999575744,766.9915859996763,762.9915859996763,0.001,0.031,0.03,0.19,0.0010000000000000009,0.9666666666666667,-0.20399999999999996,0.0,4.0,True,0
100.0,1.6,0.03,6.914345999575744,786.9589530000667,777.9589530000667,0.001,0.031,0.03,-0.07,0.0010000000000000009,0.9666666666666667,0.2120000000000001,0.18,9.0,True,0
140.0,1.6,0.03,6.45550299941533,12.072584999259561,8.072584999259561,0.001,0.031,0.001,-0.06,0.03,0.0,4.296,-0.01,4.0,True,0
140.0,1.6,0.03,6.45550299941533,25.72860700001911,23.72860700001911,0.001,0.031,0.001,-0.18,0.03,0.0,4.488,-0.02,2.0,True,0
140.0,1.6,0.03,6.45550299941533,46.06374400009372,33.06374400009372,0.001,0.031,0.001,0.05,0.03,0.0,4.12,0.0,13.0,True,0
140.0,1.6,0.03,6.45550299941533,65.63437899967539,60.63437899967539,0.001,0.031,0.027,0.32,0.004,0.8666666666666667,0.04800000000000004,0.03,5.0,True,0
140.0,1.6,0.03,6.45550299941533,85.58465799978876,74.58465799978876,0.001,0.031,0.03,0.08,0.0010000000000000009,0.9666666666666667,0.012000000000000122,0.0,11.0,True,0
